"Unit","Time","PC","Value"
"19",11,"PC2",149.190943118567
"19",12,"PC1",76.1466038601298
"19",12,"PC2",164.304464640909
"19",13,"PC1",81.8828487590597
"19",13,"PC2",180.834260083186
"19",14,"PC1",88.1323649676249
"19",14,"PC2",197.16804199144
"19",15,"PC1",94.9791081886742
"19",15,"PC2",215.951865467419
"19",16,"PC1",102.16063716573
"19",16,"PC2",232.378417285726
"19",17,"PC1",108.883409747795
"19",17,"PC2",249.274002676407
"19",18,"PC1",115.71490539198
"19",18,"PC2",265.270620597018
"19",19,"PC1",121.960536284897
"19",19,"PC2",282.231925754266
"19",20,"PC1",129.415499833765
"19",20,"PC2",300.24564341732
"20",0,"PC1",0
"20",0,"PC2",0
"20",1,"PC1",6.24079670297336
"20",1,"PC2",7.52457983532499
"20",2,"PC1",13.7500495065933
"20",2,"PC2",18.6089981374312
"20",3,"PC1",21.0667172220226
"20",3,"PC2",30.1439378555577
"20",4,"PC1",28.7644192889802
"20",4,"PC2",44.5119693316645
"20",5,"PC1",35.9671764708351
"20",5,"PC2",57.3217215349473
